Kudos Date,Kudos Type,Parent ID
"Mar 13, 2020, 7:59:49 PM",Activity,3180377279
"Mar 14, 2020, 4:56:14 PM",Activity,3182676446
"Mar 14, 2020, 6:50:13 PM",Activity,3183330487
"Mar 14, 2020, 6:50:17 PM",Activity,3183183827
"Mar 14, 2020, 6:50:20 PM",Activity,3182788615
"Mar 14, 2020, 7:58:31 PM",Activity,3183140680
"Mar 14, 2020, 7:58:33 PM",Activity,3183419129
"Mar 15, 2020, 6:26:39 PM",Activity,3186272678
"Mar 15, 2020, 6:27:35 PM",Activity,3186349692
"Mar 15, 2020, 11:46:30 PM",Activity,3187264437
"Mar 16, 2020, 2:08:32 PM",Activity,3188335067
"Mar 17, 2020, 12:19:34 AM",Activity,3188834947
"Mar 17, 2020, 12:50:14 AM",Activity,3188548417
"Mar 17, 2020, 8:18:34 PM",Activity,3191906541
"Mar 18, 2020, 12:20:05 AM",Activity,3192744230
"Mar 18, 2020, 4:22:43 PM",Activity,3194477335
"Mar 18, 2020, 7:14:18 PM",Activity,3195168993
"Mar 21, 2020, 7:02:30 PM",Activity,3204404577
"Mar 21, 2020, 7:02:34 PM",Activity,3203957346
"Mar 21, 2020, 7:02:37 PM",Activity,3204399652
"Mar 21, 2020, 7:02:45 PM",Activity,3204096871
"Mar 21, 2020, 7:02:57 PM",Activity,3203968818
"Mar 21, 2020, 7:03:03 PM",Activity,3203323290
"Mar 22, 2020, 10:21:20 PM",Activity,3207643953
"Mar 22, 2020, 10:21:29 PM",Activity,3207022561
"Mar 24, 2020, 1:46:42 AM",Activity,3210549150
"Mar 24, 2020, 6:35:29 PM",Activity,3213686010
"Mar 24, 2020, 11:59:12 PM",Activity,3214849013
"Mar 25, 2020, 12:56:46 PM",Activity,3216242021
"Mar 25, 2020, 12:56:49 PM",Activity,3216243538
"Mar 26, 2020, 9:42:46 PM",Activity,3220524529
"Mar 26, 2020, 9:43:17 PM",Activity,3218494988
"Mar 27, 2020, 2:37:11 PM",Activity,3223607947
"Mar 27, 2020, 2:37:26 PM",Activity,3223167580
